external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,video_custom,title_custom,type,team,start
OF2eam-uz4o,974849,20160610,Warriors vs Cavaliers: Game 4 NBA Finals - 06.10.16 Full Highlights,"Stephen Curry,LeBron James",2010,1673461,np343bk9Iqk|-Y-DaNaBiIo|tZ13QL6HqGI|0ONSoZBtDJM,"Golden State, Warriors vs Cleveland Cavaliers - June 10, 2016|Running Man Challenge by Stephen Curry Cleveland vs Golden State June 10 2016 Game 4 FInals|Stephen Curry Saves Ball, Drains Three | Warriors vs Cavaliers | Game 4 | June 10, 2016 | NBA Finals|LeBron and Steph Curry Have Words | Warriors vs Cavaliers | Game 4 | June 10, 2016 | 2016 NBA Finals",532143|120348|23883|22238,4,20160610-Stephen Curry,,"Warriors vs. Cavaliers Finals, game 4",,gsw|cle,
sDh9Q3GdmE4,842044,20150614,Stephen Curry vs LeBron James Game 5 Battle Highlights Warriors vs Cavaliers 2015 Finals - EPIC!,"Stephen Curry,LeBron James",2010,1641060,si5phRZBlD4,"Stephen Curry Full Game 5 Highlights vs Cavaliers 2015 Finals - 37 Pts, 7 Reb, GOD MODE!",799016,1,20150614-Stephen Curry,,"Curry vs. LeBron in Finals, game 5",,gsw|cle,
X9necA_prVM,1609990,20140516,Stephen Curry Sinks Buzzer-Beater from 3/4-Court!!,Stephen Curry,2010,1609990,,,,0,20140516-Stephen Curry,,Curry hits buzzer-beater from 3/4 court,gw,gsw,
6gx5-hyMUt4,1209590,20160605,Cavaliers vs Warriors: Game 2 NBA Finals - 06.05.16 Full Highlights,"Stephen Curry,LeBron James",2010,1577045,hVBey51sfOE|vOdyPy2pDNg|6-jbtBEoZ_0|xD17rMdkR4s,"LeBron James vs Stephen Curry SUPERSTARS Duel in 2016 NBA Finals Game 2 - 37 Pts, 13 Ast Combined|LeBron James Takes 6 Steps Without Dribbling & No Travel Game 2 Cleveland vs Golden State 6/5/16|NBA FINALS IS TRASH! LEBRON JAMES IS LEAVING CLEVELAND! -  Warriors Beat Cavaliers 6/5/2016|Andre Iguodala Defense On LeBron James June 5, 2016 Finals G2",305119|36012|15017|11307,4,20160605-Stephen Curry,,"Cavaliers vs. Warriors, game 2",,gsw,
8SFsWTr0AmI,1324972,20120621,Miami Explode in the Third Quarter!! Game 5 NBA Finals 2012,LeBron James,2010,1506537,QruYgJ_w_60|gcLL9jhe4fE|eg-NrJY3TIs|y55tyLymvyI|6MESIVGY_B4|y0qaTDRVXLs,"Miami Heat fans singing 'Power' (2012 NBA Finals GM5)|Miami Heat Party at Club LIV Post Game 5 NBA Finals 2012 [HD]|Oklahoma City Thunder v. Miami Heat: Derek Fisher Flagrant Foul Penalty One|June 21, 2012-NBATV-2012 NBA Finals Miami Heat Championship LeBron, Wade Post Game Interview(Vs OKC)|Miami Heat win the 2012 NBA Finals|LeBron James in the locker room before Game 5 of the 2012 NBA Finals (6.21.12)",54670|45348|35389|18806|14714|12638,6,20120621-LeBron James,,Huge Heat 3rd quarter in game 5,,mia,
8aCcUmImr8A,1254497,20160225,"Stephen Curry Full Highlights 2016.02.25 at Magic - AMAZING 51 Pts, 10 3's, Sets NBA RECORD!",Stephen Curry,2010,1493959,_ULOWU_vglE|lhhD4GDK-7s,"[Ep. 19/15-16] Inside The NBA (on TNT) Full Episode – Barkley vs. Suns Pt. 2/Curry Scores 51|Golden State Warriors vs Orlando Magic - February 25, 2016",163169|76293,2,20160225-Stephen Curry,,Curry scores 51 with 10 3s,,gsw,
Mm-UHAWPpxo,743953,20120206,The Jeremy Lin Show Vs. Utah Jazz (2/6/2012),Jeremy Lin,2010,1481837,NPp520vX68w|pJ8fJ56DeJM|YcfRVXRlccc|LI39Rgl_6d8|HuFen-_k5yo,"林書豪打爆猶他爵士Jeremy Lin NY Knicks VS UT Jazz  02/06/2012|Jeremy Lin 28 points 8 assists vs UTA (2/6/2012) now starter for NYK|★It's LIN-SANITY!★ The Jeremy Lin Show vs Utah Jazz | 2.6.2012|The Jeremy Lin Show Vs. Utah Jazz (2012-2-6)|Jeremy Lin ""Mirror Jordan"" Switch Hands Layup vs Utah Jazz - Feb 6, 2012",604007|71687|28615|22282|11293,5,20120206-Jeremy Lin,,Jeremy Lin vs. the Jazz,,uta,
Z41cOrwrkeI,1418218,20141214,Kobe Bryant passes Michael Jordan for 3rd on all-time scoring list (Lakers at Timberwolves),"Michael Jordan,Kobe Bryant",2010,1473871,hmYX4jDoDU0|fMeOzjUuStc,"December 14, 2014 - Lakers vs. Timberwolves - Kobe Bryant Becomes 3rd On NBA All-Time Scoring List|NBA Kobe Passes Michael Jordan Scoring Record 12-14-2014 Video Fan Ranting",35734|19919,2,20141214-Michael Jordan,,Kobe passes Jordan on all-time scoring list,,lal|min,
pAIqHc31FS8,1448046,20150508,Derrick Rose Banks in Game-Winning Triple - Taco Bell Buzzer Beater,Derrick Rose,2010,1473653,Fzde0YXL0tE,Derrick Rose Game Winner | Cavaliers vs Bulls | Game 3 | 5.8.15 | 2015 NBA Playoffs,25607,1,20150508-Derrick Rose,,Derrick Rose banks in game-winner,gw,cle|chi,
7cIcf--9zEw,964364,20160122,"Stephen Curry UNREAL Triple-Double 2016.01.22 vs Pacers - 39 Pts, 12 Dimes, 10 Rebs, MVP!",Stephen Curry,2010,1448842,N26NHQBejgw|wjOjwdl5-FM,"Stephen Curry hits 2 half-court buzzer beater in a row! (Pacers vs Warriors, 01.22.2016)|Indiana Pacers vs Golden State Warriors - January 22, 2016",428072|56406,2,20160122-Stephen Curry,,Curry hits two half-court buzzer beaters,,gsw,
