external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,annotation
xvs74__JpAU,113589,19850222,"Celtics vs. Bulls - Feb 22, 1985 (Rookie Jordan and L. Bird)","Larry Bird,Michael Jordan",1980,147873,dZuIRKWRyuk|VpC2I0IRT8A,02.22.1985 - Rookie Michael Jordan vs Larry Bird! (MJ Great Effort for Saving the Game!)|02.22.85 - Larry Bird Out Duels Rookie Michael Jordan (Clutch Shots Clinic),24234|10050,2,19850222-Larry Bird
ghx1UK3WpoA,107943,19880419,Michael Jordan OWNS Mark Jackson,"Mark Jackson,Michael Jordan",1980,146859,DMzhhugyTAo,"Bulls @ Knicks, April 1988. Jordan 47 points",38916,1,19880419-Mark Jackson
rPricaq0gDM,124433,19890313,Michael Jordan Triple Double in 21 Minutes,Michael Jordan,1980,140141,m7B3iQFV9QE,"Michael Jordan - Triple Double In 21 Minutes ! (March 13, 1989)",15708,1,19890313-Michael Jordan
BNGa_VDKqSE,114889,19840405,4/5/84 Kareem Abdul-Jabbar (Lakers) New Scoring King,Kareem Abdul-Jabbar,1980,114889,,,,0,19840405-Kareem Abdul-Jabbar
COiKFL3ky3M,109746,19861114,Larry Bird - 41/7/7 vs. Jordan's Bulls (1987),"Michael Jordan,Larry Bird",1980,109746,,,,0,19861114-Michael Jordan
lTMF2MJZ9ac,89422,19880403,Michael Jordan 59pts (FG 77.8%),Michael Jordan,1980,109422,qbsplqVpptU,MICHAEL JORDAN:59 pts vs Detroit Pistons (1988.04.03),20000,1,19880403-Michael Jordan
GL71xgjs4I0,108426,19800127,Rookie Larry Bird (36pts/7rebs/4asts) vs. Clippers (1980),Larry Bird,1980,108426,,,,0,19800127-Larry Bird
-cIIuS_BvHM,105574,19840721,Michael Jordan 27 pts - USA Olympic Team vs. NBA All Stars - 1984,Michael Jordan,1980,105574,,,,0,19840721-Michael Jordan
jOgvF9AwCrg,74005,19880202,"02.02.88 - Michael Jordan (MVP) 39pts vs Kareem, Magic & Worthy ''Mike Tyson Gets Crazy''","Magic Johnson,James Worthy,Michael Jordan,Kareem Abdul-Jabbar",1980,99273,_tGWEwM0fUE,MICHAEL JORDAN: 39 pts (22 in the 4th Qtr) vs L.A.Lakers (1988.02.02) HD,25268,1,19880202-Magic Johnson
zchjMYe60tc,94740,19841202,Michael Jordan vs Magic Johnson | 1st Matchup Ever Rookie Jordan | 12.2.1984,"Michael Jordan,Magic Johnson",1980,94740,,,,0,19841202-Michael Jordan
2pnnyLhlz5g,91815,19850312,Bulls vs. Pistons 1984-85 - Rookie Jordan saves the day,Michael Jordan,1980,91815,,,,0,19850312-Michael Jordan
TubEoLlRu98,88718,19890212,Michael Jordan - 1989 NBA All-Star Game,Michael Jordan,1980,88718,,,,0,19890212-Michael Jordan
yRyJMrnN2Q8,87484,19800320,"Pistons v. Celtics w/ rookie Larry Bird, Pete Maravich, Bob Ryan [3/20/1980]","Pete Maravich,Larry Bird",1980,87484,,,,0,19800320-Pete Maravich
vnGmWQG_EIc,81860,19880517,John Stockton (23pts/24asts - playoffs record/5stls) vs. Lakers (1988),"Magic Johnson,John Stockton",1980,81860,,,,0,19880517-Magic Johnson
P3wzzlFHa6Q,79784,19870510,Allen Iverson 45pt vs Reggie Miller 41pts Indiana Pacers 00/01 NBA Playoffs Gm2 *Fancy move,"Jalen Rose,Reggie Miller,Allen Iverson",1980,79784,,,,0,19870510-Jalen Rose
B25V_B-7yxU,79334,19870413,"Michael Jordan 1987/91: 50pts, 47pts and 46pts Vs. Bucks",Michael Jordan,1980,79334,,,,0,19870413-Michael Jordan
W4uLRX5e3UM,77830,19880621,Making History: NBA Finals 1988 Game 7 - Isiah vs Magic,"Isiah Thomas,Magic Johnson",1980,77830,,,,0,19880621-Isiah Thomas
uihzw7lp-yA,77348,19891117,Magic Johnson (24pts/8rebs/24asts/6stls) vs. Nuggets (1989),Magic Johnson,1980,77348,,,,0,19891117-Magic Johnson
