external_video_id,estimated_view_count,date,duration,categories,decade
AV3O94yv4vc,581271,20120304,103,,2010
eTZBmBF80vU,579836,20130127,37,,2010
DBPzLopf5rw,578616,20150619,87,,2010
bT_byiSjeAc,576795,20110602,203,dunk,2010
nVt0PN4XFrA,574976,19961108,30,dunk,1990
Stu1w9QhlNA,570797,20051220,989,shot,2000
_S6axRxdua4,570335,19980308,627,,1990
DzygmTv1bQo,567859,20160603,80,,2010
GCQ5idKojNQ,566395,20081205,84,dunk|shot,2000
lDyMPXnstcQ,563441,20120323,506,,2010
c8CJl0fIU4k,562563,20110310,212,,2010
oXdbBQ-3Rxs,561745,20071230,42,dunk|fight,2000
jSjY0EPpX88,560708,20030115,78,shot,2000
lxvNZvGvzyw,559116,20150109,113,,2010
Jfk629UFw6w,558545,20121207,136,,2010
sezCLyheQoQ,558131,20130723,857,,2010
H_7puR-27Cs,557200,20091010,67,,2000
dyZRP7KQbdo,557133,20110526,221,fight,2010
QDa7dvf_5Ds,556556,20130210,37,dunk|shot|block,2010
F0WIdDmqOV4,554383,20111229,31,move,2010
qdQTdq-01A0,552775,20131120,29,fight,2010
0afz7lz7KGM,552561,20090223,107,shot,2000
QR8HVb7vPig,548886,20121003,25,,2010
5pqfvWthszA,545545,20161214,73,dunk|pass,2010
3-kolNcY53s,545414,20100110,39,pass,2010
NaTV9Yd0t8U,544680,20121103,93,,2010
A-FTtVrY34g,543222,20120220,90,shot,2010
bpmvj-3437E,542264,19930112,599,block,1990
OEfdq-WbZMw,541626,20080426,85,,2000
Gnf3MTsn_5w,541251,19960527,912,,1990
9vaZ8kg72ng,540403,20110723,20,,2010
qA2e7Pbjhcs,538913,20161123,202,pass,2010
ftMZp-yMKEc,537053,20170302,546,,2010
DhCQM-ql58g,536450,20120308,30,,2010
tOTO9B-KqCY,535472,20130903,2815,,2010
rCsWrAA0V4k,535032,20150301,540,,2010
LwITbm80LBs,534624,20091118,28,shot,2000
lRqMz1Qi-xM,532950,20160530,68,,2010
np343bk9Iqk,532143,20160610,83,pass,2010
mPPaztyf6eA,530843,20090522,49,fight,2000
6YhPSzGHFcM,529830,20091204,136,fight,2000
2-g_H6c3lNM,529591,20141119,120,,2010
FqkVbO0bUFs,528575,19920614,597,,1990
FBC2V1CY2wA,527817,20150218,657,,2010
CC4sW9IrtBc,527763,20170217,52,shot,2010
Jx9xhHsxukc,525225,19961217,895,,1990
tHoBbeZL9-g,525167,20100227,207,dunk|shot,2010
HaHoBQq0azw,524787,20101123,61,fight|dunk,2010
gj1N1uaClcs,521533,20160613,81,,2010
aLEkTQwPEZY,521261,20121217,351,,2010
WBoDWNBcf0s,519890,20111230,465,,2010
5yFl2WpDDKc,519005,20161225,545,pass|shot,2010
GoITusXGkXs,516881,20121024,112,fight,2010
QdsBlqftf-I,516793,20081007,56,,2000
TqHDx5ZBwFU,516270,20160616,80,,2010
P1a-B8y3WIU,515732,19921120,673,pass,1990
QYU72vwKBdI,515633,20170112,106,pass|shot,2010
GPGEMOo_Rgc,512830,20071101,99,pass,2000
8UcJEMis16A,512694,20130109,52,,2010
Cbe81FGYydg,511555,20070326,64,shot,2000
lRM7TTWjFyE,510284,20161028,388,pass|block,2010
C0o4crq6DNc,509171,20130127,287,,2010
AGZ5m4qgpZg,509129,20111230,64,move,2010
oNn9dKBb24Y,506223,20060531,165,block|shot,2000
0yg0RbR3s6A,506209,20131111,295,,2010
A5oRpdS7diI,504186,20160608,79,shot,2010
iyBJ0vZJubk,503988,20090226,58,block|shot,2000
G92RNSeIvzY,503964,20170225,46,pass,2010
cRVPqccI2us,503821,20150515,28,shot,2010
sUQy2gy_cMA,501933,20130311,308,,2010
l5Dpn2dnDtM,500896,20121009,26,dunk,2010
Z6BWYMjTs3c,500491,20090525,49,fight,2000
nT2CNxxNQs0,500485,20130429,151,,2010
DYDUASriZ_Y,500475,20120208,486,,2010
RcMCA_sJuTo,500000,20060112,180,shot|injury,2000
ahYZlFQ6BZI,498985,20160120,426,,2010
AbRHzLo9nro,498375,20100109,49,shot,2010
Mshyev5q_wI,494719,20090227,25,dunk,2000
6icwrLvZGhA,494287,19960218,439,shot|block,1990
hb9CWnqaASQ,492678,20090430,84,shot,2000
NgF0HFMFh4Y,492588,20120203,174,,2010
eQhxRZmvwag,491434,20160227,311,shot,2010
SqOkgEeYKHQ,490728,20141031,46,move,2010
5bkrGuAm8PA,490637,20101205,16,,2010
8eJ11KYBI90,490286,20131218,29,,2010
qZL69uidwI4,490005,20110401,2508,,2010
GHrZd7JxvPQ,486954,20100125,530,,2010
DM0Nwhb0jiQ,486009,20151017,43,dunk,2010
9RQ74cAZT1M,485657,20130217,94,fight,2010
xDNnrW5U8qk,485467,20110117,209,fight,2010
L84ESPr192E,484925,20160227,60,shot|move|injury,2010
ff55bAf03yA,483223,20021003,39,dunk|move,2000
1SmSVTSgvc4,483202,20170205,125,,2010
9OmPmqaUDks,483118,20100111,28,,2010
YBmizSEkJt4,479043,20161026,248,pass|block,2010
isGpYWyC3qI,478553,20130127,87,injury,2010
nvEdZezNziM,477779,20120404,59,,2010
p3FgnCNragM,477006,20141124,41,pass|move|shot,2010
9Vo67QPaNLU,476514,20121210,126,fight,2010
QE1roXB5sG8,474366,20140214,206,pass,2010
0uaQI7hMbxs,471844,20151129,3334,block|move|shot,2010
ku3QHMwarnc,471147,20141208,51,pass,2010
Zr3hZNJANSE,470639,20140401,64,shot,2010
zHLaT0mfoBY,470401,20170211,562,,2010
ul1bpyaegDc,470328,20110223,244,,2010
DlT2TVq95nY,469494,20121118,148,,2010
biAOmupCxnc,469492,20160516,80,pass,2010
YlqmvauDs8g,469168,20160203,466,shot,2010
lc5wizzVVC8,468119,20130218,2938,,2010
P0xX4-Fo1PY,467538,20160519,134,,2010
-BhuU4LBXRM,467332,20040613,307,shot,2000
iIj0STitjTE,465251,20110508,434,shot,2010
FfmDmSBXw7U,465213,20110322,32,pass|shot,2010
6qH0pIDOqBo,464801,20140126,297,pass|fight,2010
cDQP87rlEFw,464595,20140802,88,injury,2010
XJlhT0GMe4w,464124,20110220,352,,2010
3S17xW6hiHM,463547,20101215,36,shot,2010
ntYp0BGbVu8,463383,20170207,247,,2010
DPOx-YLvmrA,460507,20160215,895,,2010
RBkZnvnRDfI,460133,20091225,43,,2000
PCAR2imImbo,458674,20161107,185,,2010
Nrgd5v184Xs,458269,20091213,88,,2000
Bm3Wt1OFMhc,455756,20160605,80,,2010
WwG5ZocL6uM,454718,20160306,307,,2010
oU8jICYLUgo,454030,20110308,89,shot|pass,2010
8u587AgkMIc,453290,20130330,38,fight,2010
UHWRrfu45dg,452237,19970209,100,,1990
tDYdlOF2kBs,450760,20150225,44,move,2010
WhySSUi6QqI,449586,20170105,339,,2010
xztGiWdb2_M,448638,20150312,549,,2010
Hd6pFym05Y4,446705,20080601,188,,2000
jEn7WMrHNxs,446610,20110316,329,,2010
Ra3JrJTN51E,443818,20151217,534,pass,2010
KkpT0QdUDIY,443396,19940217,563,pass|block,1990
6Q0lX42EHdA,442616,20060122,307,,2000
abNlNtkX-L0,441842,20080311,51,,2000
YHMdwc48yIs,441346,20090311,102,fight,2000
bR7tdjnTmxE,440034,19930111,1021,,1990
zwRX22jCdDo,439185,20091203,12,dunk|block,2000
FMb5VmWhPuk,438042,20170219,280,,2010
liLoAPkI4kk,436911,20170111,156,move|fight|shot,2010
l-3mFe1XxAI,436199,20140326,135,pass,2010
UUhaSWDE41s,435696,20140413,419,pass,2010
EN0ptrepJEU,434919,20140205,507,pass|dunk,2010
0Rah3Lhxsig,434769,20071011,16,,2000
hg6CSSkqkXE,434004,20130102,28,,2010
FswAE69lSns,432388,20080317,224,shot|dunk|pass|block|move,2000
X6YYDDsNreY,431850,20130201,85,,2010
WwdQOEzuVYQ,431665,20100115,83,,2010
jCG0JIorzGI,431261,20070117,83,dunk,2000
wV54qCZXlWw,431220,20081209,20,dunk,2000
94EqxSBDHdI,430630,20121114,54,dunk,2010
-p6ycwE_OiE,430547,20151205,574,pass,2010
ntF-XNFDpRA,429459,20161220,49,pass|shot,2010
uK65aFDkw44,429392,20130224,395,shot,2010
aNhNjxXDLsA,428391,20081205,143,fight,2000
N26NHQBejgw,428072,20160122,135,shot,2010
WDyC-OFLyNc,426766,20160924,708,fight,2010
9uPND2JKKSI,426117,20150405,63,,2010
g3ysZsmAbQ0,425015,20131025,81,fight|shot,2010
T6EHymC25RM,424821,20070209,153,dunk|shot,2000
WNyw8jUo1cA,424078,20090520,31,,2000
9mKljXsKaw0,423194,20150117,109,move,2010
TZ87Y7qGhpQ,422388,20120413,35,dunk,2010
ARTVPTZ-uVw,419760,20110327,25,dunk,2010
dq5dykost6g,418397,20160310,516,pass,2010
d-EPCcRRtLY,417431,19881220,512,,1980
_g56z2MrwIs,417297,20160615,636,,2010
MTdERYOtqsg,416314,20071030,31,,2000
8lXlA0Vbxf8,415382,20121007,141,,2010
5ekqkRsziFo,413782,19841027,363,,1980
I7vfKSDSIoo,413760,20121013,728,,2010
5g6JOgYO2k0,413747,20170209,NaN,,2010
XQuysLG2NU8,412281,20150102,162,,2010
pPwSWiKIvyg,407636,20100214,351,,2010
QEha6TJqiGY,407357,20160227,580,,2010
lzajjIIWwsc,405970,20011107,448,block,2000
znlcaBU-G_k,405886,19950319,80,,1990
CXEFMfd9c1A,405195,20041119,509,,2000
N7yH7_r1s2A,404859,19960116,718,pass|shot|fight,1990
IuephAcZBGE,404293,20121112,286,,2010
HoDeTfK2YFU,403343,20170119,757,,2010
J2bgHokCjFg,402523,19860214,420,shot|pass,1980
chJeKE2646U,401438,19970121,659,shot|fight|dunk|pass|block|move,1990
nDJb7o8yIvk,400068,19951103,273,dunk|pass,1990
CR4VGqZx6eU,398771,20071102,54,,2000
Ffw4-OMmchY,398759,20060122,516,,2000
jqD-JoDgKao,398551,20070301,44,dunk,2000
JBCyrHi9Ez0,397851,19960115,748,,1990
SJmyMfpbsMY,397629,20110223,253,,2010
u9Ur8rtAinI,396873,20110315,166,,2010
WIV4-vvvEgM,395896,20130206,210,,2010
4h2Bqm3ffdQ,395641,20090903,25,fight,2000
